section	record_id	field	value	required	target_file	guidance
figure_check	Figure 2	color_accessibility_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after colorblind-safe inspection.
figure_check	Figure 2	final_status	pass/revise	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	pass only when all visual checks pass.
figure_check	Figure 2	notes	Manual inspection required.	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 3	figure	Figure 3	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 3	file_stem	figure3_chr6_chr9_regional_loci_nature	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 3	purpose	Chr6 and chr9 regional candidate intervals	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 3	pdf_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PDF.
figure_check	Figure 3	svg_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final SVG.
figure_check	Figure 3	png_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PNG.
figure_check	Figure 3	panel_labels_correct	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after visual inspection.
figure_check	Figure 3	text_readable_at_journal_size	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking print-size readability.
figure_check	Figure 3	no_label_overlap	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking labels and annotations.
figure_check	Figure 3	legend_matches_figure	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking caption/legend consistency.
figure_check	Figure 3	color_accessibility_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after colorblind-safe inspection.
figure_check	Figure 3	final_status	pass/revise	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	pass only when all visual checks pass.
figure_check	Figure 3	notes	Manual inspection required.	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
manuscript_statement	funding_statement	value	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-contribution-funding-coi-form.md	Use exact grant agency and grant numbers, or state that no specific funding was received.
manuscript_statement	competing_interest_statement	value	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-contribution-funding-coi-form.md	Use the final journal-approved competing-interest wording.
manuscript_statement	acknowledgements	value	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-contribution-funding-coi-form.md	List only people/groups who approved acknowledgement where required.
manuscript_statement	author_approval_statement	value	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-contribution-funding-coi-form.md	Confirm all authors approved manuscript, author order, affiliations, contributions and submission.
