result_id	manuscript_claim	script	primary_inputs	primary_outputs	key_parameters_or_decisions	verification_evidence	reviewer_risk_addressed	missing_paths	ready_for_reviewer
R10_covariate_gwas_diagnostic	Covariate-only GWAS was inflated and retained only as a diagnostic baseline.	scripts/run_zeamap_v0_1_population_corrected_association.py	docs/2026-06-05-zeamap-v0-1-final-benchmark.md	docs/2026-06-05-zeamap-v0-1-gwas-baseline-report.md	PC1-PC3 + K1-K3 residualization; lambda GC 2.41-3.97.	GWAS baseline report documents inflation and diagnostic-only status.	R03 statistical genetics diagnostics		True
R11_gemma_inputs	GEMMA LMM used genotype-derived kinship and population covariates.	scripts/prepare_zeamap_v0_1_gemma_inputs.py	data/processed/v0_1/genotype_dosage_int8.npz;data/processed/v0_1/population.parquet	scripts/slurm/run_zeamap_v0_1_gemma_lmm.sh	10 high-priority oil traits; genotype-derived kinship; PC1-PC3/K1-K3 covariates.	GEMMA run script and Stage 5.3 report document LMM setup.	R03 statistical genetics diagnostics		True
R12_gemma_lmm_summary	GEMMA LMM controlled lambda GC to 0.984-1.018 across 10 oil traits.	scripts/summarize_zeamap_v0_1_gemma_lmm.py	scripts/slurm/run_zeamap_v0_1_gemma_lmm.sh	results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_summary.tsv;results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_lead_snps.tsv;docs/2026-06-05-zeamap-v0-1-gemma-lmm-report.md	p_lrt as main p-value; Bonferroni/FDR/suggestive summaries; QQ/Manhattan figures generated.	Summary TSV and report document sample/SNP counts, lambda and lead hits.	R03 statistical genetics diagnostics		True
R13_candidate_loci_annotation	GEMMA lead loci were annotated to B73 RefGen_v4 candidate genes and filtered to manuscript-facing loci.	scripts/build_zeamap_v0_1_gemma_candidate_loci.py	results/v0_1_baseline/gemma_lmm_v0_1/gemma_lmm_lead_snps.tsv;docs/2026-06-05-zeamap-v0-1-genotype-attribution-report.md	results/v0_1_baseline/gemma_lmm_v0_1/candidate_loci/gemma_manuscript_candidate_loci.tsv;results/v0_1_baseline/gemma_lmm_v0_1/candidate_loci/gemma_manuscript_candidate_genes.tsv;docs/2026-06-05-zeamap-v0-1-gemma-candidate-loci-report.md	Nominal-only loci excluded from manuscript set; 184 candidate loci and 147 genes retained.	Candidate loci report and TSVs document filtering and annotation.	R04 domain interpretation		True
R14_top_loci_priority	Top loci were ranked into tiered manuscript candidates and 8 regional targets.	scripts/build_zeamap_v0_1_top_locus_priority.py	results/v0_1_baseline/gemma_lmm_v0_1/candidate_loci/gemma_manuscript_candidate_loci.tsv	results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_locus_priority.tsv;results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_region_targets.tsv;docs/2026-06-05-zeamap-v0-1-top-locus-priority-report.md	Priority score integrates statistical support, trait recurrence, attribution overlap and annotation evidence.	Top-locus report documents tier1/tier2 and regional figure targets.	R04 domain interpretation		True
R15_manuscript_tables	Manuscript tables summarize regional evidence, tier-1 loci, candidates and literature/source records.	scripts/build_zeamap_v0_1_stage5_6_manuscript_tables.py	results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_locus_priority.tsv	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv;results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv;results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/supplementary_manuscript_candidate_loci.tsv;docs/2026-06-05-zeamap-v0-1-results-draft.md	8 top regional loci; 18 tier1 main loci; 184 supplementary manuscript loci.	Stage 5.6 report and manuscript tables are committed.	R04 domain interpretation		True
R16_main_figures	Figure 1, Figure 2 and Figure 3 are generated in PDF/SVG/PNG formats.	scripts/build_zeamap_v0_1_stage5_7_methods_and_figures.py	docs/2026-06-05-zeamap-v0-1-results-draft.md	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_7/figure1_dataset_prediction_nature.pdf;results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures/figure_gemma_lmm_summary_nature.pdf;results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_7/figure3_chr6_chr9_regional_loci_nature.pdf;docs/2026-06-05-zeamap-v0-1-stage5-7-methods-figures-report.md	Nature-style double-column PDF/SVG/PNG; manual final inspection remains required.	Stage 5.12 figure audit exists; Stage 5.14 manual checklist still has placeholders.	R06 figure readiness		True
R17_regional_figures	Eight top regional association/LD/gene-track figures support candidate intervals.	scripts/build_zeamap_v0_1_top_locus_priority.py	results/v0_1_baseline/gemma_lmm_v0_1/top_loci/gemma_top_region_targets.tsv	results/v0_1_baseline/gemma_lmm_v0_1/regional_figures/R01_Zm00001d036982_regional_locus_nature.pdf;results/v0_1_baseline/gemma_lmm_v0_1/regional_figures/R08_Zm00001d045383_regional_locus_nature.pdf	Regional panels show association strength, LD to lead SNP and B73 RefGen_v4 gene tracks.	Regional figure directory contains PDF/SVG/PNG for R01-R08.	R04 domain interpretation and R06 figure readiness		True
R18_external_annotation	Top regional loci received external annotation hardening and claim-boundary risk labels.	scripts/build_zeamap_v0_1_stage5_11_external_annotation.py	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv;docs/2026-06-06-zeamap-v0-1-stage5-11-external-annotation-report.md	External annotation class and remaining risk assigned; no causal validation implied.	Stage 5.11 report and external annotation table are committed.	R04 domain interpretation		True
R19_final_assembly	Target-journal manuscript assembly combines title page placeholders, abstract, results, methods, legends and availability statements.	scripts/build_zeamap_v0_1_stage5_12_final_assembly.py	docs/2026-06-06-zeamap-v0-1-polished-manuscript-draft.md;docs/2026-06-06-zeamap-v0-1-methods-parameter-supplement.md	docs/2026-06-06-zeamap-v0-1-stage5-12-target-journal-manuscript.md;docs/2026-06-06-zeamap-v0-1-data-code-availability-draft.md;docs/2026-06-06-zeamap-v0-1-figure-quality-audit.md	The Plant Genome first-line format with G3 as alternative; author-side fields intentionally unresolved.	Stage 5.12 report and final assembly draft are committed.	R01 manuscript depth and R05 reproducibility		True
R20_submission_gates	Final submission gates remain closed until author metadata, manual figure checks and release are complete.	scripts/build_zeamap_v0_1_stage5_15_preflight_validator.py	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv;docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	docs/2026-06-06-zeamap-v0-1-stage5-15-preflight-report.md;docs/2026-06-06-zeamap-v0-1-stage5-15-gate-status.tsv;docs/2026-06-06-zeamap-v0-1-stage5-17-report.md	Preflight requires no blocking placeholders; Stage 5.17 single form is now the preferred source of truth.	Stage 5.15/5.16/5.17 reports document current metadata blockers.	R07 editorial office blockers		True
